user id: Y25010,start time: 1659719642230,application version: 0.1
timestamp,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position
"1659719642256","False","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.8)","(-0.2, 0.0, 0.0)","Quad","null","null","null","null","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.8)","(-0.2, 0.0, 0.0)","Quad","","","",""
"1659719642259","False","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.8)","(-0.2, 0.0, 0.0)","Quad","null","null","null","null","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.8)","(-0.2, 0.0, 0.0)","Quad","","","",""
"1659719642297","False","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.8)","(-0.2, 0.0, 0.0)","Quad","null","null","null","null","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.8)","(-0.2, 0.0, 0.0)","Quad","","","",""
"1659719642327","False","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.8)","(-0.2, 0.0, 0.0)","Quad","null","null","null","null","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.8)","(-0.2, 0.0, 0.0)","Quad","","","",""
"1659719642358","False","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.1)","Quad","null","null","null","null","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.1)","Quad","","","",""
"1659719642402","False","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.1)","Quad","null","null","null","null","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.1)","Quad","","","",""
"1659719642432","False","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.1)","Quad","null","null","null","null","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.1)","Quad","","","",""
"1659719642467","False","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.7)","(-0.2, 0.0, -0.1)","Quad","null","null","null","null","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.7)","(-0.2, 0.0, -0.1)","Quad","","","",""
"1659719642497","False","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.7)","(-0.2, 0.0, -0.1)","Quad","null","null","null","null","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.7)","(-0.2, 0.0, -0.1)","Quad","","","",""
"1659719642528","False","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.7)","(-0.2, 0.0, -0.1)","Quad","null","null","null","null","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.7)","(-0.2, 0.0, -0.1)","Quad","","","",""
"1659719642560","False","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.7)","(-0.2, 0.0, -0.1)","Quad","null","null","null","null","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.7)","(-0.2, 0.0, -0.1)","Quad","","","",""
"1659719642600","False","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.7)","(-0.2, 0.0, -0.1)","Quad","null","null","null","null","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.7)","(-0.2, 0.0, -0.1)","Quad","","","",""
"1659719642631","False","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.7)","(-0.2, 0.0, -0.1)","Quad","null","null","null","null","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.7)","(-0.2, 0.0, -0.1)","Quad","","","",""
"1659719642659","False","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.1)","Quad","null","null","null","null","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.1)","Quad","","","",""
"1659719642697","False","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.1)","Quad","null","null","null","null","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.1)","Quad","","","",""
"1659719642727","False","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.1)","Quad","null","null","null","null","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.1)","Quad","","","",""
"1659719642766","False","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.2)","Quad","null","null","null","null","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.2)","Quad","","","",""
"1659719642805","False","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.2)","Quad","null","null","null","null","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.2)","Quad","","","",""
"1659719642835","False","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.2)","Quad","null","null","null","null","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.8)","(-0.2, 0.0, -0.2)","Quad","","","",""
"1659719642868","False","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","null","null","null","null","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","","","",""
"1659719642897","False","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","null","null","null","null","(-0.2, 0.0, -0.2)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","","","",""
"1659719642928","False","(-0.2, 0.0, -0.3)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","null","null","null","null","(-0.2, 0.0, -0.3)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","","","",""
"1659719642960","False","(-0.2, 0.0, -0.3)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","null","null","null","null","(-0.2, 0.0, -0.3)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","","","",""
"1659719643000","False","(-0.2, 0.0, -0.3)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","null","null","null","null","(-0.2, 0.0, -0.3)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","","","",""
"1659719643030","False","(-0.2, 0.0, -0.3)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","null","null","null","null","(-0.2, 0.0, -0.3)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","","","",""
"1659719643062","False","(-0.2, 0.0, -0.3)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","null","null","null","null","(-0.2, 0.0, -0.3)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","","","",""
"1659719643097","False","(-0.2, 0.0, -0.3)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","null","null","null","null","(-0.2, 0.0, -0.3)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","","","",""
"1659719643133","False","(-0.2, 0.0, -0.3)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","null","null","null","null","(-0.2, 0.0, -0.3)","(0.6, -0.2, 0.8)","(-0.1, 0.0, -0.2)","Quad","","","",""
