user id: Y25010,start time: 1659719642230
timestamp,event message,last loaded scene,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position,event
"1659719642247","Logged in with user id: Y25010","01-LoginScene","False","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.8)","(0.1, -0.1, 0.4)","User Id Input","null","null","null","null","(-0.2, 0.0, -0.1)","(0.6, -0.2, 0.8)","(0.1, -0.1, 0.4)","User Id Input","","","","","logged_in"
"1659719674049","Task 1 started, instantiating start instructions.","02-WelcomeScene","False","(0.0, 0.0, 0.0)","(0.1, -0.4, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.1, -0.4, 0.9)","(0.0, 0.0, 0.1)","Quad","","","","","task1_started"
"1659719674049","Instantiating instructions.","02-WelcomeScene","False","(0.0, 0.0, 0.0)","(0.1, -0.4, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.1, -0.4, 0.9)","(0.0, 0.0, 0.1)","Quad","","","","","showing_instructions"
"1659719683569","Instructions finished.","03-Task1Scene","False","(0.0, 0.0, 0.1)","(0.5, -0.5, 0.7)","(0.6, -0.5, 0.8)","Header Text","null","null","(0.3, -0.5, 0.1)","(0.2, -0.5, 0.0)","(0.0, 0.0, 0.1)","(0.5, -0.5, 0.7)","(0.6, -0.5, 0.8)","Header Text","","","","","instructions_finished"
"1659719684573","Start instructions finished.","03-Task1Scene","False","(0.0, 0.0, 0.1)","(0.5, -0.5, 0.7)","(0.1, -0.1, 0.1)","Quad","null","null","(0.3, -0.5, 0.1)","(0.2, -0.5, 0.0)","(0.0, 0.0, 0.1)","(0.5, -0.5, 0.7)","(0.1, -0.1, 0.1)","Quad","","","","",""
"1659719687150","Button pressed, starting animation.","03-Task1Scene","False","(0.0, -0.1, 0.1)","(0.3, -0.6, 0.7)","(0.0, 0.0, 0.0)","","null","null","(0.2, -0.5, 0.4)","(0.2, -0.4, 0.3)","(0.0, -0.1, 0.1)","(0.3, -0.6, 0.7)","(0.0, 0.0, 0.0)","","(1.1, -1.9, 2.2)","(0.2, -0.5, 0.4)","","","button_pressed"
"1659719694171","Animation finished.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(0.1, -0.5, 0.9)","(0.0, 0.0, 0.0)","","null","null","null","null","(0.0, 0.0, 0.0)","(0.1, -0.5, 0.9)","(0.0, 0.0, 0.0)","","(0.1, -1.4, 1.5)","","","","animation_finished"
"1659719695208","Instantiating middle instructions.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(0.1, -0.5, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.1, -0.5, 0.9)","(0.0, -0.1, 0.1)","Quad","(0.1, -1.4, 1.5)","","","",""
"1659719695208","Instantiating instructions.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(0.1, -0.5, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(0.1, -0.5, 0.9)","(0.0, -0.1, 0.1)","Quad","(0.1, -1.4, 1.5)","","","","showing_instructions"
"1659719703868","Instructions finished.","03-Task1Scene","False","(0.0, 0.0, -0.1)","(0.1, -0.4, 0.9)","(0.1, -0.4, 0.9)","Header Text","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, -0.4, 0.9)","(0.1, -0.4, 0.9)","Header Text","","","","","instructions_finished"
"1659719704909","Middle instructions finished, starting the timer.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","(-0.1, -0.5, 0.1)","(0.0, -0.6, 0.1)","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, -0.1, 0.1)","Quad","","","","",""
"1659719704913","Openning the timer.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, -0.1, 0.1)","Quad","null","null","(-0.1, -0.5, 0.1)","(0.0, -0.6, 0.1)","(0.0, 0.0, 0.0)","(0.0, -0.5, 0.9)","(0.0, -0.1, 0.1)","Quad","","","","","openning_timer"
"1659719708009","Button pressed, starting animation.","03-Task1Scene","False","(0.0, 0.0, 0.1)","(-0.1, -0.6, 0.8)","(0.0, 0.0, 0.0)","","null","null","(-0.1, -0.4, 0.5)","(0.0, -0.4, 0.4)","(0.0, 0.0, 0.1)","(-0.1, -0.6, 0.8)","(0.0, 0.0, 0.0)","","(-0.2, -1.8, 2.5)","(-0.1, -0.4, 0.5)","","","button_pressed"
"1659719715030","Animation finished.","03-Task1Scene","False","(-0.1, 0.0, -0.2)","(0.4, -0.5, 0.8)","(0.0, 0.0, 0.0)","","null","null","null","null","(-0.1, 0.0, -0.2)","(0.4, -0.5, 0.8)","(0.0, 0.0, 0.0)","","(0.7, -1.4, 1.1)","","","","animation_finished"
"1659719715030","Task 1 finished, loading task 2","03-Task1Scene","False","(-0.1, 0.0, -0.2)","(0.4, -0.5, 0.8)","(0.0, 0.0, 0.0)","","null","null","null","null","(-0.1, 0.0, -0.2)","(0.4, -0.5, 0.8)","(0.0, 0.0, 0.0)","","(0.7, -1.4, 1.1)","","","","task1_finished"
"1659719716230","Task 2 started, instatiating start instructions.","03-Task1Scene","False","(-0.1, 0.0, -0.2)","(0.3, -0.5, 0.8)","(0.0, -0.1, -0.1)","Quad","null","null","null","null","(-0.1, 0.0, -0.2)","(0.3, -0.5, 0.8)","(0.0, -0.1, -0.1)","Quad","(0.6, -1.4, 1.1)","","","","task2_started"
"1659719716230","Instantiating instructions.","03-Task1Scene","False","(-0.1, 0.0, -0.2)","(0.3, -0.5, 0.8)","(0.0, -0.1, -0.1)","Quad","null","null","null","null","(-0.1, 0.0, -0.2)","(0.3, -0.5, 0.8)","(0.0, -0.1, -0.1)","Quad","(0.6, -1.4, 1.1)","","","","showing_instructions"
