user id: Y33407,start time: 1659740755090
timestamp,event message,last loaded scene,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position,event
"1659740755098","Logged in with user id: Y33407","01-LoginScene","False","(0.0, 0.0, -0.9)","(0.3, 0.8, -0.5)","(0.2, 0.4, -1.2)","User Id Input","null","null","null","null","(0.0, 0.0, -0.9)","(0.3, 0.8, -0.5)","(0.2, 0.4, -1.2)","User Id Input","","","","","logged_in"
"1659740786929","Task 1 started, instantiating start instructions.","02-WelcomeScene","False","(-1.3, 0.1, -1.6)","(0.3, 0.9, -0.4)","(-1.2, 0.2, -1.6)","Quad","null","null","null","null","(-1.3, 0.1, -1.6)","(0.3, 0.9, -0.4)","(-1.2, 0.2, -1.6)","Quad","","","","","task1_started"
"1659740786934","Instantiating instructions.","02-WelcomeScene","False","(-1.3, 0.1, -1.6)","(0.3, 0.9, -0.4)","(-1.2, 0.2, -1.6)","Quad","null","null","null","null","(-1.3, 0.1, -1.6)","(0.3, 0.9, -0.4)","(-1.2, 0.2, -1.6)","Quad","","","","","showing_instructions"
"1659740796522","Instructions finished.","03-Task1Scene","False","(-1.3, 0.2, -1.6)","(0.2, 0.8, -0.5)","(-1.1, 1.0, -2.1)","Header Text","null","null","null","null","(-1.3, 0.2, -1.6)","(0.2, 0.8, -0.5)","(-1.1, 1.0, -2.1)","Header Text","","","","","instructions_finished"
"1659740797519","Start instructions finished.","03-Task1Scene","False","(-1.6, 0.2, -1.8)","(0.3, 0.8, -0.5)","(-1.5, 0.3, -1.8)","Quad","null","null","null","null","(-1.6, 0.2, -1.8)","(0.3, 0.8, -0.5)","(-1.5, 0.3, -1.8)","Quad","","","","",""
"1659740884721","Button pressed, starting animation.","03-Task1Scene","False","(-3.5, 0.1, -2.8)","(0.9, 0.4, 0.2)","(0.0, 0.0, 0.0)","","(-3.0, 0.2, -2.6)","(-3.1, 0.2, -2.6)","null","null","(-3.5, 0.1, -2.8)","(0.9, 0.4, 0.2)","(0.0, 0.0, 0.0)","","(-0.8, 1.2, -2.1)","(-3.0, 0.3, -2.7)","","","button_pressed"
"1659740891791","Animation finished.","03-Task1Scene","False","(-3.5, 0.1, -2.8)","(0.9, 0.3, 0.3)","(0.0, 0.0, 0.0)","","null","null","null","null","(-3.5, 0.1, -2.8)","(0.9, 0.3, 0.3)","(0.0, 0.0, 0.0)","","(-1.6, 0.4, -2.2)","","","","animation_finished"
"1659740892821","Instantiating middle instructions.","03-Task1Scene","False","(-3.5, 0.1, -2.8)","(0.9, 0.3, 0.3)","(-3.4, 0.2, -2.8)","Quad","null","null","null","null","(-3.5, 0.1, -2.8)","(0.9, 0.3, 0.3)","(-3.4, 0.2, -2.8)","Quad","(-1.6, 0.3, -2.2)","","","",""
"1659740892821","Instantiating instructions.","03-Task1Scene","False","(-3.5, 0.1, -2.8)","(0.9, 0.3, 0.3)","(-3.4, 0.2, -2.8)","Quad","null","null","null","null","(-3.5, 0.1, -2.8)","(0.9, 0.3, 0.3)","(-3.4, 0.2, -2.8)","Quad","(-1.6, 0.3, -2.2)","","","","showing_instructions"
"1659740901521","Instructions finished.","03-Task1Scene","False","(-3.5, 0.1, -2.8)","(0.9, 0.3, 0.2)","(-2.7, 0.4, -2.6)","Header Text","null","null","null","null","(-3.5, 0.1, -2.8)","(0.9, 0.3, 0.2)","(-2.7, 0.4, -2.6)","Header Text","","","","","instructions_finished"
"1659740902561","Middle instructions finished, starting the timer.","03-Task1Scene","False","(-3.5, 0.1, -2.8)","(0.9, 0.3, 0.2)","(-3.4, 0.1, -2.8)","Quad","null","null","null","null","(-3.5, 0.1, -2.8)","(0.9, 0.3, 0.2)","(-3.4, 0.1, -2.8)","Quad","","","","",""
"1659740902566","Openning the timer.","03-Task1Scene","False","(-3.5, 0.1, -2.8)","(0.9, 0.3, 0.2)","(-3.4, 0.1, -2.8)","Quad","null","null","null","null","(-3.5, 0.1, -2.8)","(0.9, 0.3, 0.2)","(-3.4, 0.1, -2.8)","Quad","","","","","openning_timer"
"1659740905900","Button pressed, starting animation.","03-Task1Scene","False","(-3.5, 0.1, -2.9)","(0.9, 0.4, 0.1)","(0.0, 0.0, 0.0)","","(-2.9, 0.2, -2.8)","(-3.0, 0.2, -2.7)","null","null","(-3.5, 0.1, -2.9)","(0.9, 0.4, 0.1)","(0.0, 0.0, 0.0)","","(-0.7, 1.1, -2.4)","(-2.9, 0.2, -2.8)","","","button_pressed"
"1659740912961","Animation finished.","03-Task1Scene","False","(-3.5, 0.1, -2.9)","(0.9, 0.4, 0.1)","(0.0, 0.0, 0.0)","","(-3.0, 0.3, -2.8)","(-3.1, 0.2, -2.8)","null","null","(-3.5, 0.1, -2.9)","(0.9, 0.4, 0.1)","(0.0, 0.0, 0.0)","","(-1.5, 0.5, -2.7)","","","","animation_finished"
