user id: 000003,start time: 1658514341637,application version: 0.1
timestamp,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position
"1658514341657","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.0)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.0)","Quad","","","",""
"1658514341676","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514341701","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514341732","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514341767","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514341797","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514341829","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514341877","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514341897","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514341931","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514341967","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514342002","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514342037","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514342069","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514342107","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514342149","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514342167","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514342215","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514342237","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514342267","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514342299","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
"1658514342327","False","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","(-0.5, -0.5, -0.1)","(-0.5, -0.4, -0.1)","null","null","(-0.1, 0.0, 0.0)","(-0.7, -0.2, 0.7)","(-0.1, 0.0, 0.1)","Quad","","","",""
