user id: 00008b,start time: 1659797010558
timestamp,event message,last loaded scene,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position,event
"1659797010566","Logged in with user id: 00008b","01-LoginScene","False","(-2.34, -0.19, -0.26)","(0.94, -0.21, 0.28)","(-1.88, -0.29, -0.12)","User Id Input","null","null","null","null","(-2.34, -0.19, -0.26)","(0.94, -0.21, 0.28)","(-1.88, -0.29, -0.12)","User Id Input","","","","","logged_in"
"1659797042469","Task 1 started, instantiating start instructions.","02-WelcomeScene","False","(-2.33, -0.19, -0.27)","(0.89, -0.45, 0.07)","(-2.24, -0.24, -0.26)","Quad","null","null","null","null","(-2.33, -0.19, -0.27)","(0.89, -0.45, 0.07)","(-2.24, -0.24, -0.26)","Quad","","","","","task1_started"
"1659797042469","Instantiating instructions.","02-WelcomeScene","False","(-2.33, -0.19, -0.27)","(0.89, -0.45, 0.07)","(-2.24, -0.24, -0.26)","Quad","null","null","null","null","(-2.33, -0.19, -0.27)","(0.89, -0.45, 0.07)","(-2.24, -0.24, -0.26)","Quad","","","","","showing_instructions"
"1659797052047","Instructions finished.","03-Task1Scene","False","(-2.30, -0.18, -0.19)","(0.84, -0.18, 0.51)","(0.00, 0.00, 0.00)","","null","null","null","null","(-2.30, -0.18, -0.19)","(0.84, -0.18, 0.51)","(0.00, 0.00, 0.00)","","","","","","instructions_finished"
"1659797053077","Start instructions finished.","03-Task1Scene","False","(-2.38, -0.17, -0.22)","(0.87, -0.04, 0.49)","(-2.29, -0.17, -0.17)","Quad","null","null","null","null","(-2.38, -0.17, -0.22)","(0.87, -0.04, 0.49)","(-2.29, -0.17, -0.17)","Quad","","","","",""
"1659797085350","Button pressed, starting animation.","03-Task1Scene","False","(-2.04, -0.15, -0.04)","(-0.19, 0.39, 0.90)","(0.00, 0.00, 0.00)","","null","null","(-1.92, -0.07, 0.56)","(-1.91, -0.14, 0.48)","(-2.04, -0.15, -0.04)","(-0.19, 0.39, 0.90)","(0.00, 0.00, 0.00)","","(-1.86, 0.74, 2.74)","(-1.99, -0.04, 0.48)","","","button_pressed"
"1659797092378","Animation finished.","03-Task1Scene","False","(-1.82, -0.21, 0.48)","(0.08, -0.33, 0.94)","(0.00, 0.00, 0.00)","","null","null","null","null","(-1.82, -0.21, 0.48)","(0.08, -0.33, 0.94)","(0.00, 0.00, 0.00)","","(-1.62, -1.28, 2.05)","","","","animation_finished"
"1659797093418","Instantiating middle instructions.","03-Task1Scene","False","(-1.80, -0.22, 0.76)","(-0.07, -0.54, 0.84)","(-1.81, -0.27, 0.85)","Quad","null","null","(-1.90, -0.50, 0.85)","(-1.81, -0.52, 0.84)","(-1.80, -0.22, 0.76)","(-0.07, -0.54, 0.84)","(-1.81, -0.27, 0.85)","Quad","(-1.88, -1.56, 2.20)","","","",""
"1659797093419","Instantiating instructions.","03-Task1Scene","False","(-1.80, -0.22, 0.76)","(-0.07, -0.54, 0.84)","(-1.81, -0.27, 0.85)","Quad","null","null","(-1.90, -0.50, 0.85)","(-1.81, -0.52, 0.84)","(-1.80, -0.22, 0.76)","(-0.07, -0.54, 0.84)","(-1.81, -0.27, 0.85)","Quad","(-1.88, -1.56, 2.20)","","","","showing_instructions"
"1659797102153","Instructions finished.","03-Task1Scene","False","(-2.17, -0.17, -0.21)","(0.79, -0.13, 0.59)","(-1.32, -0.31, 0.43)","Header Text","(0.00, 0.00, 0.00)","(0.00, 0.00, 0.00)","null","null","(-2.17, -0.17, -0.21)","(0.79, -0.13, 0.59)","(-1.32, -0.31, 0.43)","Header Text","","","","","instructions_finished"
"1659797103157","Middle instructions finished, starting the timer.","03-Task1Scene","False","(-2.20, -0.16, -0.20)","(0.73, -0.01, 0.69)","(-2.12, -0.17, -0.13)","Quad","(0.00, 0.00, 0.00)","(0.00, 0.00, 0.00)","null","null","(-2.20, -0.16, -0.20)","(0.73, -0.01, 0.69)","(-2.12, -0.17, -0.13)","Quad","","","","",""
"1659797103158","Openning the timer.","03-Task1Scene","False","(-2.20, -0.16, -0.20)","(0.73, -0.01, 0.69)","(-2.12, -0.17, -0.13)","Quad","(0.00, 0.00, 0.00)","(0.00, 0.00, 0.00)","null","null","(-2.20, -0.16, -0.20)","(0.73, -0.01, 0.69)","(-2.12, -0.17, -0.13)","Quad","","","","","openning_timer"
"1659797105494","Button pressed, starting animation.","03-Task1Scene","False","(-2.05, -0.16, -0.09)","(0.47, 0.05, 0.88)","(0.00, 0.00, 0.00)","","null","null","(-1.75, -0.33, 0.41)","(-1.78, -0.33, 0.31)","(-2.05, -0.16, -0.09)","(0.47, 0.05, 0.88)","(0.00, 0.00, 0.00)","","(-0.31, -0.25, 2.23)","(-1.78, -0.26, 0.33)","","","button_pressed"
"1659797112548","Animation finished.","03-Task1Scene","False","(-1.71, -0.21, 0.51)","(-0.09, -0.36, 0.93)","(0.00, 0.00, 0.00)","","null","null","null","null","(-1.71, -0.21, 0.51)","(-0.09, -0.36, 0.93)","(0.00, 0.00, 0.00)","","(-1.90, -1.35, 2.31)","","","","animation_finished"
"1659797112548","Task 1 finished, loading task 2","03-Task1Scene","False","(-1.71, -0.21, 0.51)","(-0.09, -0.36, 0.93)","(0.00, 0.00, 0.00)","","null","null","null","null","(-1.71, -0.21, 0.51)","(-0.09, -0.36, 0.93)","(0.00, 0.00, 0.00)","","(-1.90, -1.35, 2.31)","","","","task1_finished"
"1659797113714","Task 2 started, instatiating start instructions.","03-Task1Scene","False","(-1.74, -0.19, 0.47)","(-0.11, -0.30, 0.95)","(-1.75, -0.22, 0.57)","Quad","null","null","null","null","(-1.74, -0.19, 0.47)","(-0.11, -0.30, 0.95)","(-1.75, -0.22, 0.57)","Quad","(-1.83, -1.43, 2.35)","","","","task2_started"
"1659797113717","Instantiating instructions.","03-Task1Scene","False","(-1.74, -0.19, 0.47)","(-0.11, -0.30, 0.95)","(-1.75, -0.22, 0.57)","Quad","null","null","null","null","(-1.74, -0.19, 0.47)","(-0.11, -0.30, 0.95)","(-1.75, -0.22, 0.57)","Quad","(-1.83, -1.43, 2.35)","","","","showing_instructions"
"1659797123542","Instructions finished.","04-Task2Scene","False","(-1.89, -0.11, 0.42)","(-0.66, 0.48, 0.57)","(-2.54, 0.35, 0.98)","Header Text","null","null","null","null","(-1.89, -0.11, 0.42)","(-0.66, 0.48, 0.57)","(-2.54, 0.35, 0.98)","Header Text","","","","","instructions_finished"
"1659797124582","Start instructions finished.","04-Task2Scene","False","(-1.89, -0.11, 0.39)","(-0.83, 0.55, -0.11)","(-1.98, -0.06, 0.38)","Quad","null","null","null","null","(-1.89, -0.11, 0.39)","(-0.83, 0.55, -0.11)","(-1.98, -0.06, 0.38)","Quad","","","","",""
"1659797160521","Button 2 pressed, playing animation 2.","04-Task2Scene","False","(-1.85, -0.16, -0.11)","(0.66, 0.27, 0.71)","(0.00, 0.00, 0.00)","","null","null","(-1.30, -0.19, 0.27)","(-1.35, -0.24, 0.17)","(-1.85, -0.16, -0.11)","(0.66, 0.27, 0.71)","(0.00, 0.00, 0.00)","","(0.23, 0.29, 1.95)","(-1.52, -0.15, 0.37)","(-1.38, -0.15, 0.23)","","button2_pressed"
"1659797167554","Animation finished.","04-Task2Scene","False","(-1.97, -0.33, -0.03)","(0.63, -0.78, 0.01)","(0.00, 0.00, 0.00)","","null","null","(-1.97, -0.72, -0.19)","(-2.03, -0.73, -0.25)","(-1.97, -0.33, -0.03)","(0.63, -0.78, 0.01)","(0.00, 0.00, 0.00)","","(-1.21, -2.18, -0.09)","","","","animation_finished"
