user id: 000009,start time: 1659801684503,application version: 1.0.40
timestamp,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position
"1659801684520","False","(-0.19, 0.02, -0.12)","(-0.88, -0.21, 0.43)","(-0.43, -0.03, 0.00)","Quad","null","null","null","null","(-0.19, 0.02, -0.12)","(-0.88, -0.21, 0.43)","(-0.43, -0.03, 0.00)","Quad","","","",""
"1659801684544","False","(-0.19, 0.02, -0.12)","(-0.88, -0.21, 0.43)","(-0.28, 0.00, -0.08)","Quad","null","null","null","null","(-0.19, 0.02, -0.12)","(-0.88, -0.21, 0.43)","(-0.28, 0.00, -0.08)","Quad","","","",""
"1659801684568","False","(-0.19, 0.02, -0.12)","(-0.88, -0.21, 0.42)","(-0.28, 0.00, -0.08)","Quad","null","null","null","null","(-0.19, 0.02, -0.12)","(-0.88, -0.21, 0.42)","(-0.28, 0.00, -0.08)","Quad","","","",""
"1659801684589","False","(-0.19, 0.02, -0.12)","(-0.88, -0.21, 0.42)","(-0.28, 0.00, -0.08)","Quad","null","null","null","null","(-0.19, 0.02, -0.12)","(-0.88, -0.21, 0.42)","(-0.28, 0.00, -0.08)","Quad","","","",""
"1659801684627","False","(-0.20, 0.02, -0.12)","(-0.88, -0.21, 0.42)","(-0.29, 0.00, -0.08)","Quad","null","null","null","null","(-0.20, 0.02, -0.12)","(-0.88, -0.21, 0.42)","(-0.29, 0.00, -0.08)","Quad","","","",""
"1659801684663","False","(-0.20, 0.02, -0.12)","(-0.88, -0.21, 0.42)","(-0.29, 0.00, -0.08)","Quad","null","null","null","null","(-0.20, 0.02, -0.12)","(-0.88, -0.21, 0.42)","(-0.29, 0.00, -0.08)","Quad","","","",""
"1659801684695","False","(-0.20, 0.02, -0.12)","(-0.88, -0.22, 0.42)","(-0.29, 0.00, -0.08)","Quad","null","null","null","null","(-0.20, 0.02, -0.12)","(-0.88, -0.22, 0.42)","(-0.29, 0.00, -0.08)","Quad","","","",""
"1659801684728","False","(-0.20, 0.02, -0.12)","(-0.88, -0.22, 0.42)","(-0.29, 0.00, -0.08)","Quad","null","null","null","null","(-0.20, 0.02, -0.12)","(-0.88, -0.22, 0.42)","(-0.29, 0.00, -0.08)","Quad","","","",""
"1659801684777","False","(-0.20, 0.02, -0.12)","(-0.88, -0.22, 0.42)","(-0.29, 0.00, -0.08)","Quad","null","null","null","null","(-0.20, 0.02, -0.12)","(-0.88, -0.22, 0.42)","(-0.29, 0.00, -0.08)","Quad","","","",""
"1659801684791","False","(-0.20, 0.02, -0.12)","(-0.88, -0.22, 0.42)","(-0.29, 0.00, -0.08)","Quad","null","null","null","null","(-0.20, 0.02, -0.12)","(-0.88, -0.22, 0.42)","(-0.29, 0.00, -0.08)","Quad","","","",""
"1659801684847","False","(-0.20, 0.02, -0.12)","(-0.88, -0.22, 0.42)","(-0.29, 0.00, -0.08)","Quad","null","null","null","null","(-0.20, 0.02, -0.12)","(-0.88, -0.22, 0.42)","(-0.29, 0.00, -0.08)","Quad","","","",""
"1659801684877","False","(-0.20, 0.02, -0.12)","(-0.88, -0.23, 0.42)","(-0.29, 0.00, -0.08)","Quad","null","null","null","null","(-0.20, 0.02, -0.12)","(-0.88, -0.23, 0.42)","(-0.29, 0.00, -0.08)","Quad","","","",""
